# perf report -i $SCRATCH/perf_bench2.data --stdio -n --no-children --sort=symbol --dsos=nif_pool.so 2>&1 | grep -E "^\s*[0-9]+\.[0-9]+%"
# perf report -i $SCRATCH/perf_bench2.data --stdio -n --no-children --sort=symbol --dsos=beam.smp 2>&1 | grep -E "^\s*[0-9]+\.[0-9]+%"
# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 42K of event 'cpu/cycles/P'
# Event count (approx.): 147839290519
#
# Overhead       Samples  Symbol                                                                                                                                                                                  IPC   [IPC Coverage]
# ........  ............  ......................................................................................................................................................................................  ....................
#
     0.01%             5  [.] export_staged_hash                                                                                                                                                                  -      -            
     0.01%             5  [.] enif_make_uint                                                                                                                                                                      -      -            
     0.01%             4  [.] erts_transform_engine                                                                                                                                                               -      -            
     0.01%             5  [.] pthread_mutex_lock@plt                                                                                                                                                              -      -            
     0.01%             5  [.] term_to_Sint64                                                                                                                                                                      -      -            
     0.01%             4  [.] erts_check_next_timeout_time                                                                                                                                                        -      -            
     0.01%             5  [.] ethr_event_twait                                                                                                                                                                    -      -            
     0.01%             4  [.] enif_mutex_unlock                                                                                                                                                                   -      -            
     0.01%             4  [.] abandon_carrier                                                                                                                                                                     -      -            
     0.01%             5  [.] erts_copy_one_frag                                                                                                                                                                  -      -            
     0.01%             4  [.] mon_lnk_rbt_delete                                                                                                                                                                  -      -            
     0.01%             4  [.] erts_atom_put                                                                                                                                                                       -      -            
     0.01%             4  [.] erts_proc_lock_fin                                                                                                                                                                  -      -            
     0.01%             4  [.] erts_sum_all_trace_flags                                                                                                                                                            -      -            
     0.01%             4  [.] recv_check_select                                                                                                                                                                   -      -            
     0.01%             4  [.] enif_monitor_process                                                                                                                                                                -      -            
     0.01%             4  [.] ethr_atomic32_read                                                                                                                                                                  -      -            
     0.01%             4  [.] beam_load_emit_op                                                                                                                                                                   -      -            
     0.01%             3  [.] ethr_mutex_unlock                                                                                                                                                                   -      -            
     0.01%             3  [.] ethr_event_swait                                                                                                                                                                    -      -            
     0.01%             3  [.] erts_shrink_binary_term                                                                                                                                                             -      -            
     0.01%             3  [.] enif_compare                                                                                                                                                                        -      -            
     0.01%             3  [.] BeamModuleAssembler::emit_i_move(ArgSource const&, ArgRegister const&)                                                                                                              -      -            
     0.01%             3  [.] term_to_Sint                                                                                                                                                                        -      -            
     0.01%             3  [.] recv_create_bin                                                                                                                                                                     -      -            
     0.01%             3  [.] erts_ref_to_driver_monitor                                                                                                                                                          -      -            
     0.01%             1  [.] erts_internal_map_next_3                                                                                                                                                            -      -            
     0.01%             3  [.] offset_rootset                                                                                                                                                                      -      -            
     0.01%             3  [.] recv_update_current_reader                                                                                                                                                          -      -            
     0.01%             3  [.] enif_is_ref                                                                                                                                                                         -      -            
     0.01%             3  [.] cpool_unlink                                                                                                                                                                        -      -            
     0.01%             3  [.] aoff_largest_fblk_in_mbc                                                                                                                                                            -      -            
     0.01%             3  [.] enif_demonitor_process                                                                                                                                                              -      -            
     0.01%             3  [.] append_continue                                                                                                                                                                     -      -            
     0.01%             3  [.] BeamModuleAssembler::mov_arg(asmjit::v1_21::x86::Gp, ArgVal const&, asmjit::v1_21::x86::Gp const&) [clone .isra.0]                                                                  -      -            
     0.01%             1  [.] export_start_staging                                                                                                                                                                -      -            
     0.01%             2  [.] recv_init_current_reader.part.0                                                                                                                                                     -      -            
     0.01%             2  [.] erts_alloc                                                                                                                                                                          -      -            
     0.01%             2  [.] send@plt                                                                                                                                                                            -      -            
     0.01%             2  [.] lists_reverse_2                                                                                                                                                                     -      -            
     0.01%             2  [.] esock_make_ok2                                                                                                                                                                      -      -            
     0.01%             2  [.] pthread_mutex_unlock@plt                                                                                                                                                            -      -            
     0.01%             2  [.] term_to_UWord                                                                                                                                                                       -      -            
     0.01%             2  [.] term_to_Uint                                                                                                                                                                        -      -            
     0.01%             2  [.] RegisterCache<20, asmjit::v1_21::x86::Mem, asmjit::v1_21::x86::Gp>::invalidate(asmjit::v1_21::x86::Gp)                                                                              -      -            
     0.01%             2  [.] recv@plt                                                                                                                                                                            -      -            
     0.01%             2  [.] asmjit::v1_21::CodeHolder::relocate_to_base(unsigned long, asmjit::v1_21::CodeHolder::RelocationSummary*)                                                                           -      -            
     0.01%             3  [.] clock_gettime@plt                                                                                                                                                                   -      -            
     0.01%             2  [.] enif_free_env                                                                                                                                                                       -      -            
